Date,Open,High,Low,Close,Volume,OpenInt
2023-07-21,4617,4639.75,4612.5,4615,2514,16002
2023-07-24,4616,4642.25,4611,4634,4924,17554
2023-07-25,4636.75,4659.5,4630,4646.75,2107,18307
2023-07-26,4655,4661.5,4625.5,4646.25,3686,20154
2023-07-27,4646.25,4685.5,4605,4615.25,3623,20519
2023-07-28,4619,4667.5,4609.75,4658,2050,20733
2023-07-31,4660,4670.5,4647.25,4666,1461,24925
2023-08-01,4669.5,4673.5,4643,4653,3626,23639
2023-08-02,4639.75,4644.75,4579.25,4588.25,3225,23720
2023-08-03,4587.25,4598,4556.5,4572.5,5376,25666
2023-08-04,4579.25,4611,4544.25,4548,8079,27109
2023-08-07,4551.5,4591.75,4551,4588.25,1954,27616
2023-08-08,4591,4591,4531.75,4568.25,7495,31510
2023-08-09,4567,4585.5,4527.5,4535.25,3315,30819
2023-08-10,4546.5,4594.25,4523,4535,4319,31419
2023-08-11,4537,4544.75,4508.5,4530,1826,31535
2023-08-14,4535,4557.5,4515,4555.75,1743,31762
2023-08-15,4555.5,4567,4496,4503,2603,31608
2023-08-16,4502.75,4515.5,4466,4468.5,3237,31299
2023-08-17,4470.25,4485,4425,4432.5,4971,31584
2023-08-18,4430.5,4443,4397.75,4430.25,5667,31097
2023-08-21,4432,4468.75,4420,4460.75,3933,31669
2023-08-22,4458.75,4488.5,4442.5,4447.25,5213,31464
2023-08-23,4449,4524.5,4448,4495.5,5306,32156
2023-08-24,4519.75,4534.5,4427,4434,8107,32958
2023-08-25,4433.75,4476.5,4412.25,4463,9029,34222
2023-08-28,4466.25,4498,4463.5,4491.25,4239,35181
2023-08-29,4493.5,4558.75,4482,4556.5,9851,39947
2023-08-30,4558,4580.25,4546.25,4574,14450,44068
2023-08-31,4576.75,4590.5,4562.75,4565.75,12933,44711
2023-09-01,4567.25,4597.5,4556.75,4571,19606,49319
2023-09-05,4568.5,4580.75,4549,4552,30436,59406
2023-09-06,4549.75,4553.25,4495.75,4520.5,46347,77981
2023-09-07,4519.25,4520.5,4483.25,4505.25,196560,154913
2023-09-08,4507,4526.75,4491.75,4511.25,887564,552144
2023-09-11,4514,4543.5,4508.75,4539.5,2043475,1359916
2023-09-12,4536.5,4539,4507.25,4513.75,1870977,1817812
2023-09-13,4513,4530.25,4495,4517.5,1773153,2033313
2023-09-14,4521.25,4562,4519,4555,1640992,2105394
2023-09-15,4556.5,4566,4494,4498,1825966,2095605
2023-09-18,4499.5,4514.5,4487,4501.5,1155158,2093471
2023-09-19,4503.25,4509.5,4462.25,4490,1422950,2084486
2023-09-20,4491.25,4508,4443.25,4447,1482206,2096931
2023-09-21,4445,4447,4366.5,4372,1998638,2131489
2023-09-22,4370.25,4399,4357.25,4361,1736576,2112211
2023-09-25,4365,4383.5,4338.25,4378.75,1561595,2122720
